名称,住所,営業日,電話番号
紀の里,"〒099-1402 北海道常呂郡訓子府町穂波212 ","月～日 ランチ：11:00～14:30
火～日 ディナー：17:30～20:00",0157-47-2787
珈琲舘,"〒090-0021 北海道北見市北一条東5-6 ","月～日 ランチ・ディナー：8:00～17:00(L.O.17:00)",0157-23-5537
knuckle,"〒099-2102 北海道北見市端野町二区451-9 ","火～日 ランチ・ディナー：11:00～20:00(L.O.19:30)",0157-56-2639
drop－in,"〒090-0052 北海道北見市北進町4-1-18 フリーダムビル2F","月～土 11:30～15:00(L.O.14:30)",0157-31-1061
東京亭,"〒090-0806 北海道北見市南町1-5-1 "," ランチ：11:00～15:00、ディナー：17:30～21:00",0157-25-5983
四条ホルモン,"〒090-0044 北海道北見市北四条西1-14 鉄鉱泉ビル2F","月～日 ディナー：17:00～23:00(L.O.22:30)",0157-23-1927
ここだけ野付牛,"〒090-0008 北海道北見市大正127-10 ","木～日 ディナー：17:00～21:00(L.O.21:00)",0157-36-2941
鶴喜,"〒090-0837 北海道北見市中央三輪2-401 ","月・水～日 ランチ・ディナー：11:00～21:00(L.O.20:30)",0157-36-2626
おいしん坊,"〒090-0052 北海道北見市北進町1-1-1 イオン北見店3F","月～日 ランチ・ディナー：11:00～21:00(L.O.20:30)",0157-31-2800
ところ,"〒093-0213 北海道北見市常呂町字土佐16-13 ","月・火・木～日 ランチ：11:00～14:00
月・火・木～日 ディナー：15:00～19:30(L.O.19:30)",0152-54-2339
"旭川ラーメン 北見2号店","〒090-0837 北海道北見市中央三輪4丁目493-59 ","月・火・木～日 ランチ・ディナー：11:00～20:00",0157-36-5599
"洋食工房 コルク","〒090-0035 北海道北見市北斗町3-1-1 ","火～日 ランチ：11:00～15:00(L.O.14:00)
火～日 ディナー：17:00～22:00(L.O.21:00)",0157-69-7777
四季千酔,"〒090-0046 北海道北見市北六条西4-2 ","月～土 ディナー：17:00～24:00(L.O.24:00)",0157-23-3396
木の家,"〒090-0045 北海道北見市北五条西2 五条ビル2F","月～日 ディナー：17:30～24:30(L.O.24:00)",0157-22-3011
ななしぐれ,"〒090-0044 北海道北見市北4条西2-11-5 ","月～土 ディナー：17:00～24:00(L.O.23:30)",0157-57-7490
らーめん縁,"〒090-0054 北海道北見市双葉町1-1-19 ",,0157-88-0819
龍神,"〒090-0065 北海道北見市寿町5-6-4 ",,0157-26-3279
ロングサイド,"〒090-0000 北海道北見市北5条西4-2-1 KSビル2F",,0157-26-3000
"アンニョン ソウル","〒090-0804 北海道北見市桜町2-17-1 ",,0157-61-0421
たまごのじかん,"〒090-0057 北海道北見市若葉1-10-10 ",,0157-36-7795
さくら館,"〒090-0804 北海道北見市桜町3-58 ",,0157-57-4132
中山商店,"〒090-0837 北海道北見市中央三輪9-11-16 ",,0157-36-6606
Bistro．,"〒090-0804 北海道北見市桜町3-58 ",,0157-57-4135
"うどん専門店 きたほのか","〒090-0803 北海道北見市朝日町37-2 ","月～日 11:00～15:00(L.O.14:30)
金・土 17:30～20:00(L.O.19:30)",0157-24-5856
"麺屋 はる吉","〒090-0837 北海道北見市中央三輪1-362-8 ",,0157-57-3779
"BISTRO TRUNK","〒090-0045 北海道北見市北5条西2-14 タイムズビル1F",,0157-57-5845
"Restaurant chirol","〒090-0037 北海道北見市山下町1-2-10 ",,0157-25-2555
カフェトランHin‐Na,"〒090-0833 北海道北見市とん田東町398 "," 11:00～17:00",0157-57-5625
秦食堂,"〒089-4315 北海道足寄郡陸別町大通 ","月～土 11:00～19:00",0156-27-2048
森田屋,"〒089-4314 北海道足寄郡陸別町東1条1-13-1 ",,0156-27-2888
"イタリア食堂 晴","〒090-0052 北海道北見市北進町4-3-10 ",,0157-33-1011
リンクカフェ,"〒090-0042 北海道北見市北二条西1-15 "," 09:30～18:00",0157-24-2104
ALBA,"〒090-0044 北海道北見市北四条西2-14 ",,0157-23-7373
"びっくりドンキー 北見店","〒090-0832 北海道北見市栄町2-1-7 ","月～金 10:00～03:00
土・日・祝 09:00～03:00",0157-26-5591
ステーキバルDIXIE,"〒090-0043 北海道北見市北3条西2-16-6 さくらビル3F",,0157-57-5211
森のごはん。cafe,"〒090-0063 北海道北見市清見町74-55 ",,0157-88-1087
"まんぷく炭火焼肉 喰らうど","〒090-0836 北海道北見市東三輪2-37 ",,0157-69-1040
花鳥風月,"〒090-0045 北海道北見市北5条西3-13-1 プラザジョイフルビル1F",,0157-22-2100
KUKIRU,"〒090-0043 北海道北見市北3条西2-10 オアシスビル1F"," 18:00～翌01:00",0157-33-3192
串焼三十五段屋ななしぐれ,"〒090-0044 北海道北見市北4条西3-2-1 銀座ビル2F"," 17:00～24:00",0157-33-5356
日本料理とこ丹,"〒090-0037 北海道北見市山下町1-1-6 ダイドーアクシスビル1F",,0157-23-2300
VAINQUEUR,"〒090-0045 北海道北見市北5条西3-1-2 銀座ソシアルビル2F"," (20:00～)",0157-26-7212
"北見プラザホテル レストラン Ra Contez","〒090-0833 北海道北見市とん田東町617-139 北見プラザホテル","月～金 11:30～14:00(L.O.13:30)",0157-61-6111
"クリシュナ 北見本店","〒090-0016 北海道北見市大町15-1 "," 11:00～22:00",0157-22-5078
"点心坊 一番","〒090-0064 北海道北見市美芳町10-4-9 ",,0157-57-5995
"焼肉 沙門","〒090-0805 北海道北見市清月町6-3 "," 17:00～23:00(L.O.22:00)",0157-57-6764
"Reve cafe","〒090-0064 北海道北見市美芳町8-3-18 ",,0157-57-5500
"カフェ＆レストラン ロボ","〒090-0833 北海道北見市とん田東町482-2 ",,0157-33-3293
"GREEN CAFE","〒090-0035 北海道北見市北斗町2-5-15 "," 11:00～23:00",0157-57-5261
"北のダイニング あすなろ","〒090-0037 北海道北見市山下町3-2-22 村田ビル2F",,0157-33-1680
和が家,"〒090-0037 北海道北見市山下町1-1-6 ",,0157-31-6290
"北見 炭火焼肉道楽","〒090-0025 北海道北見市北五条東5-1 東五条ハイツB 1F"," 17:30～22:00",0157-57-5059
"花々亭 北見大通西","〒090-0040 北海道北見市大通西4-7 ホテルルートイン北見大通西 1F",,0157-32-7432
まるちよジンギスカン,"〒090-0044 北海道北見市北四条西3 アップルビル1F",,0157-57-3256
遊木民族,"〒090-0066 北海道北見市花月町6-3 河西ぼたん園内",,0157-33-1324
"焼肉 道食","〒090-0046 北海道北見市北六条西3-11 ","月～土・祝前日 居酒屋タイム：18:00～22:00(L.O.21:30)",0157-23-6754
かまくら番長,"〒090-0044 北海道北見市北四条西3-12 パレスビル1F",,0157-61-1650
"ホルモン 焼肉まる笑4条店","〒090-0044 北海道北見市北四条西3-12 パレスビル1F",,0157-33-1199
"花薄荷 イオン北見店","〒090-0052 北海道北見市北進町1-1-1 イオン北見店2F",,0157-31-8780
山猫酒場,"〒090-0044 北海道北見市北四条西3-4-3 タニイビル2F",,0157-33-5993
通りゃんせ,"〒090-0064 北海道北見市美芳町5-2-14 ",,0157-22-1779
